account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion
ABabysRights,1,0.10033574334685613,0.8996642566531439,1,1.0,0.0
ABGYNservices,0,0.6464052077397383,0.3535947922602617,-1,0.0,1.0
Abigailschumach,1,0.2892979754968086,0.7107020245031914,1,1.0,0.0
Alboteaparty,0,0.5549452698853582,0.4450547301146418,1,1.0,0.0
alexdelong_,1,0.13920900768935174,0.8607909923106483,1,1.0,0.0
AllanLohr,0,0.6132019112345195,0.38679808876548055,1,1.0,0.0
allisonnell,0,0.7110505355703648,0.2889494644296352,-1,0.0,1.0
amyrpatton,1,0.22556768332034105,0.774432316679659,1,0.970588235,0.029411765
AngelaFairbanks,0,0.6797251542623725,0.32027484573762754,1,1.0,0.0
anj_90,0,0.5532281507874318,0.4467718492125682,-1,0.0,1.0
annamchughGP,0,0.8216759809411317,0.1783240190588683,-1,0.0,1.0
anscott63,0,0.6142142894801952,0.38578571051980476,1,1.0,0.0
Anthony13JJ,0,0.5994989537029674,0.4005010462970326,-1,0.0,1.0
Apocalypte,0,0.8213603146097883,0.1786396853902117,-1,0.0,1.0
AustCBR,1,0.0854776323949683,0.9145223676050317,1,1.0,0.0
bakerbarb54130,1,0.2881883238003108,0.7118116761996892,1,1.0,0.0
bananafitz,0,0.7134905727556938,0.28650942724430617,-1,0.0,1.0
basvandervoort,0,0.5919523947606085,0.4080476052393915,1,1.0,0.0
beckererine,0,0.7210571104059948,0.27894288959400515,-1,0.0,1.0
BeWellWriting,0,0.6445955022937836,0.3554044977062164,-1,0.0,1.0
BitterBrendy,0,0.6731867385550439,0.3268132614449561,-1,0.0,1.0
bo_rajer,0,0.6132019112345195,0.38679808876548055,-1,0.666666667,0.333333333
braincavanagh,0,0.7598951679428568,0.24010483205714314,-1,0.0,1.0
BrianChiasson,0,0.56298148254796,0.43701851745204,1,1.0,0.0
Briggs_CK,0,0.6132019112345195,0.38679808876548055,-1,0.0,1.0
BundeCollins,0,0.599276781102138,0.400723218897862,-1,0.0,1.0
caraecal,0,0.7974353235507329,0.20256467644926715,1,0.045454545,0.954545455
CaRi1765,0,0.6237324806469708,0.3762675193530292,1,1.0,0.0
CathCornellMD,0,0.715056303548741,0.284943696451259,-1,0.0,1.0
CathrynBuse,1,0.3751460604298521,0.6248539395701479,1,1.0,0.0
cbpolis,0,0.7387895673183327,0.26121043268166727,-1,0.0,1.0
CDGonzo2016,1,0.25783094989576416,0.7421690501042358,1,1.0,0.0
ch7pg3,0,0.6634990958529563,0.33650090414704364,-1,0.0,1.0
Chuck_Swanson,1,0.3298431103002317,0.6701568896997683,1,1.0,0.0
