individual_account_order,stance
ABabysRights,-0.8005508713798613
ABGYNservices,0.31977096775306457
Abigailschumach,0.2471857976655963
Alboteaparty,0.2394773834300053
amyrpatton,-0.2881001479451235
AngelaFairbanks,0.029847043674389506
anj_90,0.3896067191014317
Anthony13JJ,0.3789656219289162
Apocalypte,0.4773629794844479
AustCBR,-0.8814729060808877
bakerbarb54130,0.16601225026298122
BeWellWriting,0.3950876097660501
braincavanagh,0.304031996956739
BrianChiasson,0.2639298466290226
caraecal,0.38910735429161547
cbpolis,0.5934223240223241
ch7pg3,0.17894914550554453
Chuck_Swanson,0.1958292189168659
ClevelandRTL,-0.6125705072783849
ConnieBII,0.07541172164573351
DailyCatechist,-0.1638719115022642
debc51,-0.21234287071155244
defenderofthe8,-0.13633069621310068
Disciple4Lif,-0.07110199200273981
DrCNM,0.41521644169571625
fedewa_agnes,-0.535910820689769
ffskennz,0.4512297526274485
frederick5661,-0.18788148986598885
FreeSafeLegalUK,0.6259172111378513
FriscoTx4Trump,0.28849446876814777
GermanAlcocer1,0.27587537102651216
grammaviolet,0.3632980972518921
Great_Scott79,-0.014367619918278729
HattieLadd,0.526180600520768
HopeBeats,-0.6046615926011298
Hweininger,-0.6610835319162006
IWRising,0.5587519807201424
jackeekgonzalez,0.15940899966879776
JessieQ_1,-0.4722512109595577
JPAndreas1,0.2567051239263185
julieburtonwmc,0.4550694765649413
justinbook18,-0.267626758367427
JVanMaren,0.13124399514768464
katherine_ae,0.4484726340707643
katie_jacob55,0.17172945332066308
Keithhinton8,-0.2593015588029424
kelseamcbelsea,0.3318835583384726
kgscanlon,-0.2542469418683365
littlemissevec,0.45289257880022
LizYohnRN,0.3284333141250956
Manuela2day,-0.3822799632015687
miskinlaw,0.2255277363653833
miss_kGa,0.31560863862291944
molly_trivette,-0.24623295076940765
MonetteStephen,0.23767046401515315
MrsDoma,-0.051424673814301713
OnlyGirlOfTen,-0.4685119109550066
PatKernanQuinn,0.18295892425368832
Prolifefriend,-0.6365002819429203
ReinyDey,-0.11421650524941294
riconservative,0.2464662611132231
RooForLife,-0.2799169241627286
RoxieToxic_,0.4662169523768552
RyanBizarri,0.2172998257089336
scarr6612,0.1897228008256021
sexualhealthns,0.4842817781900264
shaunkenyon1967,0.3079842403595042
ShooguhLipz,0.4648539099496546
SimonCookeMSI,0.5712866224790629
soihadanabort,0.22231220529705584
T2theGuajardo,-0.07493008602967488
The_Alma_D,0.3479690570896565
TomBurdolski,-0.05788128054478836
trianglescheme,-0.17699811645528696
VERASTEGUI100,-0.3790003880746142
VLabarum,-0.00019536066349712391
WarrenDavidson,0.17851881862164706
