account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt,stance
ABabysRights,1,0.09717640134741146,0.9028235986525884,1,1.0,0.0,12,0,12,-0.8005508713798613
ABGYNservices,0,0.7820351186964608,0.2179648813035392,-1,0.0,1.0,0,9,9,0.31977096775306457
Abigailschumach,0,0.6625538793421143,0.3374461206578857,1,1.0,0.0,13,0,13,0.2471857976655963
Alboteaparty,0,0.6858050670458246,0.31419493295417544,1,1.0,0.0,7,0,7,0.2394773834300053
amyrpatton,1,0.4810264600440437,0.5189735399559563,1,0.9705882352941176,0.029411764705882363,33,1,34,-0.2881001479451235
AngelaFairbanks,0,0.5989959798446023,0.40100402015539777,1,1.0,0.0,14,0,14,0.029847043674389506
anj_90,0,0.7532430827377954,0.2467569172622047,-1,0.0,1.0,0,13,13,0.3896067191014317
Anthony13JJ,0,0.6940341150796011,0.3059658849203989,-1,0.0,1.0,0,9,9,0.3789656219289162
Apocalypte,0,0.7491494718591756,0.2508505281408244,-1,0.0,1.0,0,8,8,0.4773629794844479
AustCBR,1,0.11852709391911233,0.8814729060808877,1,1.0,0.0,10,0,10,-0.8814729060808877
bakerbarb54130,0,0.639696460789297,0.3603035392107029,1,1.0,0.0,7,0,7,0.16601225026298122
BeWellWriting,0,0.7522304669089073,0.24776953309109276,-1,0.0,1.0,0,7,7,0.3950876097660501
braincavanagh,0,0.6616832425083404,0.3383167574916596,-1,0.0,1.0,0,5,5,0.304031996956739
BrianChiasson,0,0.7049236354488984,0.2950763645511016,1,1.0,0.0,9,0,9,0.2639298466290226
caraecal,0,0.8167053099986001,0.18329469000139986,1,0.0,1.0,0,21,21,0.38910735429161547
cbpolis,0,0.8197349371786307,0.1802650628213694,-1,0.0,1.0,0,15,15,0.5934223240223241
ch7pg3,0,0.6789491455055445,0.3210508544944554,-1,0.0,1.0,0,8,8,0.17894914550554453
Chuck_Swanson,0,0.6492297226952034,0.3507702773047966,1,1.0,0.0,14,0,14,0.1958292189168659
ClevelandRTL,1,0.10614224599932663,0.8938577540006734,1,1.0,0.0,16,0,16,-0.6125705072783849
ConnieBII,0,0.6208662671002789,0.3791337328997211,1,1.0,0.0,11,0,11,0.07541172164573351
DailyCatechist,1,0.4707200495208783,0.5292799504791217,1,1.0,0.0,13,0,13,-0.1638719115022642
