account name,prochoice cnt,prochoice proportion,prolife cnt,prolife proportion,total cnt
ABabysRights,0,0.0,12,1.0,12
ABGYNservices,9,1.0,0,0.0,9
Abigailschumach,0,0.0,13,1.0,13
Alboteaparty,0,0.0,7,1.0,7
amyrpatton,1,0.029411764705882363,33,0.9705882352941176,34
AngelaFairbanks,0,0.0,14,1.0,14
anj_90,13,1.0,0,0.0,13
Anthony13JJ,9,1.0,0,0.0,9
Apocalypte,8,1.0,0,0.0,8
AustCBR,0,0.0,10,1.0,10
bakerbarb54130,0,0.0,7,1.0,7
BeWellWriting,7,1.0,0,0.0,7
braincavanagh,5,1.0,0,0.0,5
BrianChiasson,0,0.0,9,1.0,9
caraecal,21,1.0,0,0.0,21
cbpolis,15,1.0,0,0.0,15
ch7pg3,8,1.0,0,0.0,8
Chuck_Swanson,0,0.0,14,1.0,14
ClevelandRTL,0,0.0,16,1.0,16
ConnieBII,0,0.0,11,1.0,11
DailyCatechist,0,0.0,13,1.0,13
debc51,1,0.03571428571428571,27,0.9642857142857144,28
defenderofthe8,0,0.0,20,1.0,20
Disciple4Lif,0,0.0,9,1.0,9
DrCNM,8,1.0,0,0.0,8
fedewa_agnes,1,0.05882352941176471,16,0.9411764705882352,17
ffskennz,5,1.0,0,0.0,5
frederick5661,0,0.0,15,1.0,15
FreeSafeLegalUK,11,0.7857142857142857,3,0.21428571428571427,14
FriscoTx4Trump,0,0.0,14,1.0,14
GermanAlcocer1,5,1.0,0,0.0,5
grammaviolet,10,1.0,0,0.0,10
Great_Scott79,0,0.0,9,1.0,9
HattieLadd,12,1.0,0,0.0,12
HopeBeats,0,0.0,20,1.0,20
Hweininger,1,0.03571428571428571,27,0.9642857142857144,28
IWRising,8,1.0,0,0.0,8
jackeekgonzalez,1,0.0625,15,0.9375,16
JessieQ_1,1,0.030303030303030307,32,0.9696969696969696,33
JPAndreas1,0,0.0,7,1.0,7
julieburtonwmc,6,1.0,0,0.0,6
justinbook18,0,0.0,9,1.0,9
JVanMaren,2,0.1,18,0.9,20
katherine_ae,6,1.0,0,0.0,6
katie_jacob55,1,0.1111111111111111,8,0.8888888888888888,9
Keithhinton8,0,0.0,12,1.0,12
kelseamcbelsea,21,1.0,0,0.0,21
kgscanlon,1,0.07692307692307693,12,0.9230769230769232,13
littlemissevec,7,1.0,0,0.0,7
LizYohnRN,17,1.0,0,0.0,17
Manuela2day,1,0.16666666666666666,5,0.8333333333333334,6
miskinlaw,5,1.0,0,0.0,5
miss_kGa,1,0.125,7,0.875,8
molly_trivette,0,0.0,6,1.0,6
MonetteStephen,0,0.0,17,1.0,17
MrsDoma,1,0.05555555555555555,17,0.9444444444444444,18
OnlyGirlOfTen,1,0.0625,15,0.9375,16
PatKernanQuinn,1,0.125,7,0.875,8
Prolifefriend,1,0.03125,31,0.96875,32
ReinyDey,1,0.045454545454545456,21,0.9545454545454546,22
riconservative,0,0.0,5,1.0,5
RooForLife,1,0.030303030303030307,32,0.9696969696969696,33
RoxieToxic_,11,1.0,0,0.0,11
RyanBizarri,0,0.0,11,1.0,11
scarr6612,1,0.125,7,0.875,8
sexualhealthns,9,1.0,0,0.0,9
shaunkenyon1967,6,1.0,0,0.0,6
ShooguhLipz,8,1.0,0,0.0,8
SimonCookeMSI,5,1.0,0,0.0,5
soihadanabort,19,0.95,1,0.05,20
T2theGuajardo,0,0.0,5,1.0,5
The_Alma_D,13,1.0,0,0.0,13
TomBurdolski,0,0.0,11,1.0,11
trianglescheme,7,1.0,0,0.0,7
VERASTEGUI100,1,0.05263157894736842,18,0.9473684210526316,19
VLabarum,1,0.07692307692307693,12,0.9230769230769232,13
WarrenDavidson,1,0.1,9,0.9,10
