account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
ABabysRights,1,0.10509579603277541,0.8949042039672246,1,1.0,0.0,12,0,12
ABGYNservices,0,0.7685409993685249,0.23145900063147504,-1,0.0,1.0,0,9,9
Abigailschumach,0,0.6396774109646101,0.36032258903538994,1,1.0,0.0,13,0,13
Alboteaparty,0,0.6593501265398636,0.3406498734601365,1,1.0,0.0,7,0,7
alexdelong_,0,0.6306529623685566,0.36934703763144344,1,1.0,0.0,1,0,1
AllanLohr,1,0.2152923997781243,0.7847076002218757,1,1.0,0.0,3,0,3
allisonnell,0,0.6949240041400344,0.3050759958599656,-1,0.0,1.0,0,4,4
amyrpatton,1,0.45697729523908637,0.5430227047609136,1,0.9705882352941176,0.029411764705882356,33,1,34
AngelaFairbanks,0,0.5784930513136279,0.42150694868637206,1,1.0,0.0,14,0,14
anj_90,0,0.7292330752842259,0.2707669247157741,-1,0.0,1.0,0,13,13
annamchughGP,0,0.7114966437945649,0.28850335620543505,-1,0.0,1.0,0,3,3
anscott63,0,0.6195115604664105,0.38048843953358946,1,1.0,0.0,1,0,1
Anthony13JJ,0,0.671041025262502,0.328958974737498,-1,0.0,1.0,0,9,9
Apocalypte,0,0.7278948545778077,0.27210514542219233,-1,0.0,1.0,0,8,8
AustCBR,1,0.12910728678085082,0.8708927132191492,1,1.0,0.0,10,0,10
bakerbarb54130,0,0.6301798919534036,0.3698201080465964,1,1.0,0.0,7,0,7
bananafitz,0,0.6940133773538557,0.30598662264614424,-1,0.0,1.0,0,1,1
basvandervoort,0,0.6509119946947857,0.34908800530521433,1,1.0,0.0,1,0,1
beckererine,0,0.6975305400153655,0.30246945998463454,-1,0.0,1.0,0,3,3
BeWellWriting,0,0.7276504793738348,0.27234952062616524,-1,0.0,1.0,0,7,7
BitterBrendy,0,0.7194454800997374,0.28055451990026253,-1,0.0,1.0,0,2,2
bo_rajer,1,0.46376268292401446,0.5362373170759855,-1,0.6666666666666666,0.3333333333333333,2,1,3
braincavanagh,0,0.6545997650340807,0.3454002349659194,-1,0.0,1.0,0,5,5
BrianChiasson,0,0.6797561868531015,0.3202438131468986,1,1.0,0.0,9,0,9
Briggs_CK,0,0.6929809758191721,0.30701902418082794,-1,0.0,1.0,0,1,1
BundeCollins,0,0.5797877473979509,0.42021225260204914,-1,0.0,1.0,0,1,1
caraecal,0,0.7956236503361114,0.2043763496638886,1,0.045454545454545456,0.9545454545454546,1,21,22
CaRi1765,0,0.6723681148664691,0.32763188513353086,1,1.0,0.0,1,0,1
CathCornellMD,0,0.68736635063513,0.31263364936487,-1,0.0,1.0,0,2,2
CathrynBuse,1,0.4166909542910201,0.5833090457089799,1,1.0,0.0,2,0,2
cbpolis,0,0.8002496938884445,0.1997503061115555,-1,0.0,1.0,0,15,15
CDGonzo2016,0,0.6771268418432993,0.3228731581567007,1,1.0,0.0,4,0,4
ch7pg3,0,0.6614702638820129,0.3385297361179871,-1,0.0,1.0,0,8,8
Chuck_Swanson,0,0.6231945615778621,0.3768054384221379,1,1.0,0.0,14,0,14
CityonaHillUSA,1,0.42430485181149746,0.5756951481885025,1,1.0,0.0,2,0,2
clayguy83,0,0.6789445494867566,0.32105545051324336,1,1.0,0.0,1,0,1
