account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
ABabysRights,1,0.09614886533928924,0.9038511346607108,1,1.0,0.0,12,0,12
ABGYNservices,0,0.6819770001694787,0.31802299983052135,-1,0.0,1.0,0,9,9
Abigailschumach,1,0.28746250177971244,0.7125374982202876,1,1.0,0.0,13,0,13
Alboteaparty,0,0.562099328202945,0.4379006717970551,1,1.0,0.0,7,0,7
alexdelong_,1,0.13840205656991422,0.8615979434300858,1,1.0,0.0,1,0,1
AllanLohr,0,0.6190620822684955,0.38093791773150454,1,1.0,0.0,3,0,3
allisonnell,0,0.7323905385680839,0.2676094614319161,-1,0.0,1.0,0,4,4
amyrpatton,1,0.2307460187355015,0.7692539812644985,1,0.970588235,0.029411765,33,1,34
AngelaFairbanks,0,0.7075386477756236,0.29246135222437647,1,1.0,0.0,14,0,14
anj_90,0,0.5573443577642879,0.4426556422357121,-1,0.0,1.0,0,13,13
annamchughGP,0,0.8237839270811895,0.1762160729188105,-1,0.0,1.0,0,3,3
anscott63,0,0.6409520020970609,0.359047997902939,1,1.0,0.0,1,0,1
Anthony13JJ,0,0.6198847650363051,0.380115234963695,-1,0.0,1.0,0,9,9
Apocalypte,0,0.8249843513798867,0.1750156486201133,-1,0.0,1.0,0,8,8
AustCBR,1,0.08139944445449543,0.9186005555455046,1,1.0,0.0,10,0,10
bakerbarb54130,1,0.2849973862966564,0.7150026137033436,1,1.0,0.0,7,0,7
bananafitz,0,0.7111269380012529,0.28887306199874707,-1,0.0,1.0,0,1,1
basvandervoort,0,0.6085849640663457,0.3914150359336543,1,1.0,0.0,1,0,1
beckererine,0,0.7282365807243609,0.271763419275639,-1,0.0,1.0,0,3,3
BeWellWriting,0,0.6606301664588141,0.3393698335411859,-1,0.0,1.0,0,7,7
BitterBrendy,0,0.6711579405460713,0.32884205945392875,-1,0.0,1.0,0,2,2
bo_rajer,0,0.6190620822684955,0.38093791773150454,-1,0.666666667,0.333333333,2,1,3
braincavanagh,0,0.7625441075234958,0.23745589247650423,-1,0.0,1.0,0,5,5
BrianChiasson,0,0.568623955652696,0.43137604434730403,1,1.0,0.0,9,0,9
Briggs_CK,0,0.6190620822684955,0.38093791773150454,-1,0.0,1.0,0,1,1
BundeCollins,0,0.6052353054384108,0.3947646945615893,-1,0.0,1.0,0,1,1
caraecal,0,0.8099474137461878,0.19005258625381213,1,0.0,1.0,0,21,21
CaRi1765,0,0.6420665934874092,0.3579334065125908,1,0.0,0.0,0,0,0
