account_name,predict_class,prochoice_strength,prolife_strength,follower of,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
ABabysRights,1,0.09717640134741146,0.9028235986525885,1,1.0,0.0,12,0,12
ABGYNservices,0,0.7820351186964608,0.21796488130353922,-1,0.0,1.0,0,9,9
Abigailschumach,0,0.6625538793421143,0.3374461206578857,1,1.0,0.0,13,0,13
Alboteaparty,0,0.6858050670458246,0.31419493295417544,1,1.0,0.0,7,0,7
alexdelong_,0,0.6577392838498309,0.34226071615016906,1,1.0,0.0,1,0,1
AllanLohr,1,0.21110191614374274,0.7888980838562573,1,1.0,0.0,3,0,3
allisonnell,0,0.719975750927622,0.280024249072378,-1,0.0,1.0,0,4,4
amyrpatton,1,0.4810264600440437,0.5189735399559563,1,0.970588235,0.029411765,33,1,34
AngelaFairbanks,0,0.5989959798446023,0.40100402015539777,1,1.0,0.0,14,0,14
anj_90,0,0.7532430827377954,0.24675691726220467,-1,0.0,1.0,0,13,13
annamchughGP,0,0.7358566509565507,0.2641433490434492,-1,0.0,1.0,0,3,3
anscott63,0,0.6257659390733169,0.3742340609266831,1,1.0,0.0,1,0,1
Anthony13JJ,0,0.6940341150796011,0.3059658849203989,-1,0.0,1.0,0,9,9
Apocalypte,0,0.7491494718591756,0.25085052814082437,-1,0.0,1.0,0,8,8
AustCBR,1,0.11852709391911231,0.8814729060808877,1,1.0,0.0,10,0,10
bakerbarb54130,0,0.639696460789297,0.360303539210703,1,1.0,0.0,7,0,7
bananafitz,0,0.7136946946428392,0.2863053053571608,-1,0.0,1.0,0,1,1
basvandervoort,0,0.6776272242935419,0.32237277570645806,1,1.0,0.0,1,0,1
beckererine,0,0.7182958479402639,0.2817041520597361,-1,0.0,1.0,0,3,3
BeWellWriting,0,0.7522304669089073,0.24776953309109273,-1,0.0,1.0,0,7,7
BitterBrendy,0,0.7392839399979414,0.2607160600020586,-1,0.0,1.0,0,2,2
bo_rajer,1,0.47081866967294217,0.5291813303270578,-1,0.666666667,0.333333333,2,1,3
braincavanagh,0,0.6616832425083404,0.33831675749165957,-1,0.0,1.0,0,5,5
BrianChiasson,0,0.7049236354488984,0.2950763645511016,1,1.0,0.0,9,0,9
Briggs_CK,0,0.7081315374215447,0.2918684625784554,-1,0.0,1.0,0,1,1
BundeCollins,0,0.6066907974041948,0.3933092025958052,-1,0.0,1.0,0,1,1
caraecal,0,0.8167053099986001,0.18329469000139983,1,0.0,1.0,0,21,21
CaRi1765,0,0.6988187790855336,0.30118122091446636,1,0.0,0.0,0,0,0
CathCornellMD,0,0.712181895153783,0.287818104846217,-1,0.0,1.0,0,2,2
CathrynBuse,1,0.4212084770079072,0.5787915229920928,1,1.0,0.0,2,0,2
cbpolis,0,0.8197349371786307,0.1802650628213694,-1,0.0,1.0,0,15,15
CDGonzo2016,0,0.7019624587571361,0.29803754124286386,1,1.0,0.0,4,0,4
