org_account_order,stance
40daysforlife,-0.6044582114725575
AbolitionAHA,-0.5167560430696112
AbortionGroup,-0.5921686312677942
AmerLifeLeague,-0.7377576090115704
AntiAbrtionGang,-0.7655330913986149
AUL,-0.6695702158330429
Bound4LIFE,-0.4396453084179693
CA_ProLife,-0.5976815251888015
ExposeAbortion,-0.6850378604414984
FightAbortion,-0.6976857287344109
frfrankpavone,-0.7005353542022502
HumanCoalition,-0.7433930201132152
KeepLifeLegal,-0.5368078217283697
LdnAntiAbortion,-0.2837110897733661
LGBTQProLife,-0.7330431426179209
LifeNewsHQ,-0.6881118023292556
LilaGraceRose,-0.6185927877197293
LiveAction,-0.6854825772031182
nrlc,-0.7432018525440525
operationrescue,-0.6736457654428062
PLAM_org,-0.6904409634579111
ProLifeAction,-0.7122898452148296
prolifealliance,-0.35238472441022883
ProLifeBlogs,-0.6783567789412899
prolifecampaign,-0.4146621783394973
ProLifeDem,-0.35229546279061874
ProLifeLSU,-0.31242774493004755
ProLifePolitics,-0.3706864933670996
prolifepoppop,-0.5957500947203331
ProLifeYouth,-0.7201735292300906
recallabortion,-0.4342335538467969
RosaryMovement,-0.4693584024828643
SanDiegoProLife,-0.6982736956125782
SBAList,-0.7335584530393789
spucprolife,-0.5337667359603571
usccbprolife,-0.499591953250659
abortion_clinic,0.6636883393581459
Abortion_Rights,0.6754369558617013
AbortionCare,0.5839783404641246
AbortionFunds,0.5613114631613871
abortionpil,0.6463770640930823
AbortionRights,0.30500831832825537
AbortionStories,0.6317271497566459
AbortionSupport,0.6908638217359966
AcpAbortion,0.6354026963291219
alranztweets,0.4926494537504824
BaltimoreFund,0.7369990024090354
BronxAbortion,0.4574784697152143
ChiAbortionFund,0.645905465272888
DCAbortionFund,0.6236846258256568
Doctors4Choice,0.7170969225162541
Feminists4Life,-0.27342107601087384
freesafelegal,0.6890344238478893
LPJLeague,0.6278615002943989
MSFC,0.6101252622678504
NatAbortionFed,0.557687023175202
NCAbortionFund,0.7003223542087347
NDWINFund,0.6512202833146286
needabortionire,0.6854557169471962
NJAAF,0.6931254918331626
nolaAbortionFnd,0.5847064520009979
NYAAF,0.6879134355449416
PretermMAML,0.5661390308853906
RallyforChoice,0.6062829257391728
RBraceySherman,0.5093557264430133
robinmarty,0.420313652053879
roisiningle,0.4978172468261446
Safe_Abortion,0.6783840353624057
SeaChangeProg,0.6149595976153086
ShoutYrAbortion,0.5464661890693198
SisterSupporter,0.7272440073178821
StephHerold,0.5200950891372668
TammiKromenaker,0.5548269783936307
Voice4ChoiceUK,0.6742920470325778
WholeWomans,0.6453676877763356
