account name,prochoice cnt,prochoice proportion,prolife cnt,prolife proportion,total cnt
40daysforlife,0,0.0,18,1.0,18
AbolitionAHA,0,0.0,16,1.0,16
AbortionGroup,1,0.03333333333333333,29,0.9666666666666668,30
AmerLifeLeague,1,0.05,19,0.95,20
AntiAbrtionGang,0,0.0,21,1.0,21
AUL,2,0.09523809523809523,19,0.9047619047619048,21
Bound4LIFE,1,0.038461538461538464,25,0.9615384615384616,26
CA_ProLife,1,0.037037037037037035,26,0.9629629629629628,27
ExposeAbortion,0,0.0,18,1.0,18
FightAbortion,1,0.041666666666666664,23,0.9583333333333334,24
frfrankpavone,1,0.03333333333333333,29,0.9666666666666668,30
HumanCoalition,1,0.03571428571428571,27,0.9642857142857144,28
KeepLifeLegal,0,0.0,20,1.0,20
LdnAntiAbortion,1,0.2,4,0.8,5
LGBTQProLife,1,0.07692307692307693,12,0.9230769230769232,13
LifeNewsHQ,1,0.030303030303030307,32,0.9696969696969696,33
LilaGraceRose,0,0.0,14,1.0,14
LiveAction,5,0.2083333333333333,19,0.7916666666666666,24
nrlc,1,0.05263157894736842,18,0.9473684210526316,19
operationrescue,3,0.21428571428571427,11,0.7857142857142857,14
PLAM_org,1,0.05555555555555555,17,0.9444444444444444,18
ProLifeAction,2,0.06896551724137931,27,0.9310344827586208,29
prolifealliance,4,0.3636363636363637,7,0.6363636363636364,11
ProLifeBlogs,0,0.0,24,1.0,24
prolifecampaign,1,0.03225806451612903,30,0.967741935483871,31
ProLifeDem,1,0.09090909090909093,10,0.9090909090909092,11
ProLifeLSU,1,0.06666666666666668,14,0.9333333333333332,15
ProLifePolitics,6,0.24,19,0.76,25
prolifepoppop,7,0.17073170731707318,34,0.8292682926829268,41
ProLifeYouth,0,0.0,25,1.0,25
recallabortion,2,0.07142857142857142,26,0.9285714285714286,28
RosaryMovement,0,0.0,12,1.0,12
SanDiegoProLife,1,0.045454545454545456,21,0.9545454545454546,22
SBAList,4,0.1176470588235294,30,0.8823529411764706,34
spucprolife,5,0.14285714285714285,30,0.8571428571428571,35
usccbprolife,1,0.043478260869565216,22,0.9565217391304348,23
abortion_clinic,6,1.0,0,0.0,6
Abortion_Rights,23,1.0,0,0.0,23
AbortionCare,22,0.9565217391304348,1,0.043478260869565216,23
AbortionFunds,31,1.0,0,0.0,31
abortionpil,20,0.9523809523809524,1,0.047619047619047616,21
AbortionRights,6,1.0,0,0.0,6
AbortionStories,18,1.0,0,0.0,18
AbortionSupport,26,1.0,0,0.0,26
AcpAbortion,29,0.9666666666666668,1,0.03333333333333333,30
alranztweets,7,1.0,0,0.0,7
BaltimoreFund,22,0.9565217391304348,1,0.043478260869565216,23
BronxAbortion,13,1.0,0,0.0,13
ChiAbortionFund,17,1.0,0,0.0,17
DCAbortionFund,23,0.9583333333333334,1,0.041666666666666664,24
Doctors4Choice,24,0.96,1,0.04,25
Feminists4Life,0,0.0,5,1.0,5
freesafelegal,22,0.9565217391304348,1,0.043478260869565216,23
LPJLeague,21,1.0,0,0.0,21
MSFC,17,1.0,0,0.0,17
NatAbortionFed,26,1.0,0,0.0,26
NCAbortionFund,21,1.0,0,0.0,21
NDWINFund,14,1.0,0,0.0,14
needabortionire,8,1.0,0,0.0,8
NJAAF,22,1.0,0,0.0,22
nolaAbortionFnd,23,1.0,0,0.0,23
NYAAF,21,1.0,0,0.0,21
PretermMAML,24,0.96,1,0.04,25
RallyforChoice,12,1.0,0,0.0,12
RBraceySherman,23,1.0,0,0.0,23
robinmarty,19,0.6333333333333333,11,0.3666666666666665,30
roisiningle,12,1.0,0,0.0,12
Safe_Abortion,28,0.9655172413793104,1,0.03448275862068965,29
SeaChangeProg,28,0.9655172413793104,1,0.03448275862068965,29
ShoutYrAbortion,16,0.9411764705882352,1,0.05882352941176471,17
SisterSupporter,7,1.0,0,0.0,7
StephHerold,25,1.0,0,0.0,25
TammiKromenaker,7,1.0,0,0.0,7
Voice4ChoiceUK,8,1.0,0,0.0,8
WholeWomans,27,0.9642857142857144,1,0.03571428571428571,28
