account_name,predict_class,prochoice_strength,prolife_strength,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt,account_type
40daysforlife,1,0.36585657208729494,0.6341434279127051,1.0,0.0,18,0,18,1
AbolitionAHA,1,0.25033764119024937,0.7496623588097506,1.0,0.0,16,0,16,1
AbortionGroup,1,0.29217198247504095,0.707828017524959,0.9666666666666668,0.03333333333333333,29,1,30,1
AmerLifeLeague,1,0.09047661614809288,0.9095233838519071,0.95,0.05,19,1,20,1
AntiAbrtionGang,1,0.11005882993736471,0.8899411700626353,1.0,0.0,21,0,21,1
AUL,1,0.12586791986469326,0.8741320801353067,0.9047619047619048,0.09523809523809523,19,2,21,1
Bound4LIFE,1,0.12476395390882122,0.8752360460911788,0.9615384615384616,0.038461538461538464,25,1,26,1
CA_ProLife,1,0.22548868324730342,0.7745113167526966,0.9629629629629628,0.037037037037037035,26,1,27,1
ExposeAbortion,1,0.18821394516453627,0.8117860548354637,1.0,0.0,18,0,18,1
FightAbortion,1,0.0923845679352504,0.9076154320647496,0.9583333333333334,0.04166666666666666,23,1,24,1
frfrankpavone,1,0.12288067547498993,0.8771193245250101,0.9666666666666668,0.03333333333333333,29,1,30,1
HumanCoalition,1,0.16255265877084424,0.8374473412291558,0.9642857142857144,0.03571428571428571,27,1,28,1
KeepLifeLegal,1,0.10612311184758538,0.8938768881524146,1.0,0.0,20,0,20,1
LdnAntiAbortion,1,0.28021783774200604,0.719782162257994,0.8,0.2,4,1,5,1
LGBTQProLife,1,0.08880420615642037,0.9111957938435796,0.9230769230769232,0.07692307692307693,12,1,13,1
LifeNewsHQ,1,0.10003952315879272,0.8999604768412073,0.9696969696969696,0.030303030303030307,32,1,33,1
LilaGraceRose,1,0.1716368672101518,0.8283631327898482,1.0,0.0,14,0,14,1
LiveAction,1,0.11914654736221153,0.8808534526377885,0.7916666666666666,0.20833333333333331,19,5,24,1
NeverAbortion,1,0.4152073306641222,0.5847926693358778,0.75,0.25,3,1,4,1
nrlc,1,0.07888032659633037,0.9211196734036696,0.9473684210526316,0.05263157894736842,18,1,19,1
operationrescue,1,0.15878345848736075,0.8412165415126392,0.7857142857142857,0.21428571428571427,11,3,14,1
PLAM_org,1,0.10622113332356697,0.893778866676433,0.9444444444444444,0.05555555555555555,17,1,18,1
ProLifeAction,1,0.1499681409313317,0.8500318590686683,0.9310344827586208,0.06896551724137931,27,2,29,1
prolifealliance,1,0.15986023093675084,0.8401397690632492,0.6363636363636364,0.3636363636363637,7,4,11,1
ProLifeBlogs,1,0.10377834791938323,0.8962216520806168,1.0,0.0,24,0,24,1
