account_name,predict_class,prochoice_strength,prolife_strength,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt,account_type
40daysforlife,1,0.1639947713383626,0.8360052286616374,1.0,0.0,18,0,18,1
AbolitionAHA,1,0.20586471254970973,0.7941352874502903,1.0,0.0,16,0,16,1
AbortionGroup,1,0.26628067290715607,0.7337193270928439,0.9666666666666668,0.03333333333333333,29,1,30,1
AmerLifeLeague,1,0.08848673487983227,0.9115132651201677,0.95,0.05,19,1,20,1
AntiAbrtionGang,1,0.17236915246988394,0.8276308475301161,1.0,0.0,21,0,21,1
AUL,1,0.12690578008115516,0.8730942199188448,0.9047619047619048,0.09523809523809523,19,2,21,1
Bound4LIFE,1,0.33978326301060213,0.6602167369893979,0.9615384615384616,0.038461538461538464,25,1,26,1
CA_ProLife,1,0.08706423752306292,0.9129357624769371,0.9629629629629628,0.037037037037037035,26,1,27,1
ExposeAbortion,1,0.11187045512353355,0.8881295448764664,1.0,0.0,18,0,18,1
FightAbortion,1,0.09739623847870382,0.9026037615212962,0.9583333333333334,0.04166666666666666,23,1,24,1
frfrankpavone,1,0.1066973502002655,0.8933026497997345,0.9666666666666668,0.03333333333333333,29,1,30,1
HumanCoalition,1,0.2063406228317377,0.7936593771682623,0.9642857142857144,0.03571428571428571,27,1,28,1
KeepLifeLegal,1,0.1660160240806845,0.8339839759193155,1.0,0.0,20,0,20,1
LdnAntiAbortion,1,0.37115616686380204,0.628843833136198,0.8,0.2,4,1,5,1
LGBTQProLife,1,0.093069269560065,0.906930730439935,0.9230769230769232,0.07692307692307693,12,1,13,1
LifeNewsHQ,1,0.12697182026462261,0.8730281797353774,0.9696969696969696,0.030303030303030307,32,1,33,1
LilaGraceRose,1,0.2045275947226871,0.7954724052773129,1.0,0.0,14,0,14,1
LiveAction,1,0.1761348810767277,0.8238651189232723,0.7916666666666666,0.20833333333333331,19,5,24,1
NeverAbortion,1,0.14774775057033573,0.8522522494296643,0.75,0.25,3,1,4,1
nrlc,1,0.0723753379983676,0.9276246620016324,0.9473684210526316,0.05263157894736842,18,1,19,1
operationrescue,1,0.1317335032184208,0.8682664967815792,0.7857142857142857,0.21428571428571427,11,3,14,1
PLAM_org,1,0.08802438307674254,0.9119756169232575,0.9444444444444444,0.05555555555555555,17,1,18,1
ProLifeAction,1,0.10267274830137985,0.8973272516986202,0.9310344827586208,0.06896551724137931,27,2,29,1
prolifealliance,1,0.279483407457903,0.720516592542097,0.6363636363636364,0.3636363636363637,7,4,11,1
ProLifeBlogs,1,0.08921078862627774,0.9107892113737223,1.0,0.0,24,0,24,1
prolifecampaign,1,0.19024676861220502,0.809753231387795,0.967741935483871,0.03225806451612903,30,1,31,1
ProLifeDem,1,0.23822177858869165,0.7617782214113084,0.9090909090909092,0.09090909090909093,10,1,11,1
ProLifeLSU,1,0.36705943455713197,0.632940565442868,0.9333333333333332,0.06666666666666668,14,1,15,1
ProLifeMastery,1,0.16107655900913065,0.8389234409908694,0.0,0.0,0,0,0,1
prolifenews,1,0.09962468989189377,0.9003753101081062,0.0,0.0,0,0,0,1
ProLifePolitics,1,0.23154218880344302,0.768457811196557,0.76,0.24,19,6,25,1
