User,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
AbortionGroup,0.9666666666666667,0.03333333333333333,29,1,30
prolifecampaign,0.967741935483871,0.03225806451612903,30,1,31
RosaryMovement,1.0,0.0,12,0,12
recallabortion,0.9285714285714286,0.07142857142857142,26,2,28
ExposeAbortion,1.0,0.0,18,0,18
40daysforlife,1.0,0.0,18,0,18
WeAreProLife_,1.0,0.0,4,0,4
LifeNewsHQ,0.9696969696969697,0.030303030303030304,32,1,33
AbolitionAHA,1.0,0.0,16,0,16
AntiAbrtionGang,1.0,0.0,21,0,21
FightAbortion,0.9583333333333334,0.041666666666666664,23,1,24
ProLifeBlogs,1.0,0.0,24,0,24
Bound4LIFE,0.9615384615384616,0.038461538461538464,25,1,26
HumanCoalition,0.9642857142857143,0.03571428571428571,27,1,28
LdnAntiAbortion,0.8,0.2,4,1,5
PLAM_org,0.9444444444444444,0.05555555555555555,17,1,18
ProLifeLSU,0.9333333333333333,0.06666666666666667,14,1,15
NeverAbortion,0.75,0.25,3,1,4
operationrescue,0.7857142857142857,0.21428571428571427,11,3,14
KeepLifeLegal,1.0,0.0,20,0,20
ProLifePolitics,0.76,0.24,19,6,25
ProLifeYouth,1.0,0.0,25,0,25
CA_ProLife,0.9629629629629629,0.037037037037037035,26,1,27
SBAList,0.8823529411764706,0.11764705882352941,30,4,34
ProLifeAction,0.9310344827586207,0.06896551724137931,27,2,29
nrlc,0.9473684210526315,0.05263157894736842,18,1,19
LilaGraceRose,1.0,0.0,14,0,14
LiveAction,0.7916666666666666,0.20833333333333334,19,5,24
spucprolife,0.8571428571428571,0.14285714285714285,30,5,35
AUL,0.9047619047619048,0.09523809523809523,19,2,21
frfrankpavone,0.9666666666666667,0.03333333333333333,29,1,30
ProLifeMastery,0,0,0,0,0
prolifenews,0,0,0,0,0
LGBTQProLife,0.9230769230769231,0.07692307692307693,12,1,13
prolifealliance,0.6363636363636364,0.36363636363636365,7,4,11
SanDiegoProLife,0.9545454545454546,0.045454545454545456,21,1,22
prolifepoppop,0.8292682926829268,0.17073170731707318,34,7,41
usccbprolife,0.9565217391304348,0.043478260869565216,22,1,23
AmerLifeLeague,0.95,0.05,19,1,20
ProLifeDem,0.9090909090909091,0.09090909090909091,10,1,11
