User,prolife proportion,prochoice proportion,prolife cnt,prochoice cnt,total cnt
RebeccaG2012,1.0,0.0,4,0,4
ClevelandRTL,1.0,0.0,16,0,16
marthahorton2,1.0,0.0,1,0,1
johng167,1.0,0.0,1,0,1
Manuela2day,0.8333333333333334,0.16666666666666666,5,1,6
HopeBeats,1.0,0.0,20,0,20
SamuelRWeaver1,1.0,0.0,3,0,3
kelseamcbelsea,0.0,1.0,0,21,21
molly_trivette,1.0,0.0,6,0,6
BrianChiasson,1.0,0.0,9,0,9
PeterJohnRowe,1.0,0.0,2,0,2
VLabarum,0.9230769230769231,0.07692307692307693,12,1,13
TheOpenMicah,1.0,0.0,2,0,2
wafulkerson1,1.0,0.0,2,0,2
kgscanlon,0.9230769230769231,0.07692307692307693,12,1,13
Pearl_Barney,0,0,0,0,0
rabbrady,1.0,0.0,4,0,4
Alboteaparty,1.0,0.0,7,0,7
AllanLohr,1.0,0.0,3,0,3
turnerdina1,1.0,0.0,4,0,4
WarrenDavidson,0.9,0.1,9,1,10
Elentari98,1.0,0.0,4,0,4
Linzito85,0,0,0,0,0
ShinobiShawn2,1.0,0.0,2,0,2
DailyCatechist,1.0,0.0,13,0,13
jackeekgonzalez,0.9375,0.0625,15,1,16
derrickj2015,1.0,0.0,1,0,1
UKStorageGuru,1.0,0.0,1,0,1
kimidwa,1.0,0.0,3,0,3
MikeMorganMN,1.0,0.0,1,0,1
fedewa_agnes,0.9411764705882353,0.058823529411764705,16,1,17
misbehavens,1.0,0.0,4,0,4
CSLCHSnMore,1.0,0.0,3,0,3
amyrpatton,0.9705882352941176,0.029411764705882353,33,1,34
TomBurdolski,1.0,0.0,11,0,11
AngelaFairbanks,1.0,0.0,14,0,14
fargen77,1.0,0.0,4,0,4
ConnieBII,1.0,0.0,11,0,11
bakerbarb54130,1.0,0.0,7,0,7
JVanMaren,0.9,0.1,18,2,20
RKCSouthern,1.0,0.0,1,0,1
AustCBR,1.0,0.0,10,0,10
SheriTreadwell,1.0,0.0,2,0,2
RooForLife,0.9696969696969697,0.030303030303030304,32,1,33
defenderofthe8,1.0,0.0,20,0,20
WilsonRx,1.0,0.0,3,0,3
Abigailschumach,1.0,0.0,13,0,13
rjg27,1.0,0.0,1,0,1
Jaack2063,1.0,0.0,1,0,1
frederick5661,1.0,0.0,15,0,15
evonniastarr,1.0,0.0,2,0,2
CathrynBuse,1.0,0.0,2,0,2
RedPillSlayer,0,0,0,0,0
mikealfinito,1.0,0.0,1,0,1
T2theGuajardo,1.0,0.0,5,0,5
Chuck_Swanson,1.0,0.0,14,0,14
digingupthedead,1.0,0.0,1,0,1
jhiybqh3,1.0,0.0,2,0,2
Hweininger,0.9642857142857143,0.03571428571428571,27,1,28
caraecal,0.0,1.0,0,21,21
CaRi1765,0,0,0,0,0
MonetteStephen,1.0,0.0,17,0,17
Great_Scott79,1.0,0.0,9,0,9
lifepathMAS,1.0,0.0,3,0,3
riconservative,1.0,0.0,5,0,5
RyanBizarri,1.0,0.0,11,0,11
ebethsher,1.0,0.0,2,0,2
FriscoTx4Trump,1.0,0.0,14,0,14
donbrownbooks,1.0,0.0,1,0,1
KGHerriott23,1.0,0.0,1,0,1
JobsenGrothe,1.0,0.0,1,0,1
OnlyGirlOfTen,0.9375,0.0625,15,1,16
MrsDoma,0.9444444444444444,0.05555555555555555,17,1,18
JessieQ_1,0.9696969696969697,0.030303030303030304,32,1,33
Keithhinton8,1.0,0.0,12,0,12
regright,1.0,0.0,1,0,1
LuiGui_FCh,0.5,0.5,1,1,2
Miss_Sam_Kelly,1.0,0.0,1,0,1
alexdelong_,1.0,0.0,1,0,1
josephintoronto,1.0,0.0,1,0,1
Lizard_UK,1.0,0.0,1,0,1
jessicapcash87,0.0,1.0,0,3,3
Disciple4Lif,1.0,0.0,9,0,9
farfromhomenow,1.0,0.0,1,0,1
anscott63,1.0,0.0,1,0,1
tjbayus1,1.0,0.0,1,0,1
Prolifefriend,0.96875,0.03125,31,1,32
ReinyDey,0.9545454545454546,0.045454545454545456,21,1,22
richard_bushey,1.0,0.0,2,0,2
JPAndreas1,1.0,0.0,7,0,7
basvandervoort,1.0,0.0,1,0,1
CityonaHillUSA,1.0,0.0,2,0,2
CDGonzo2016,1.0,0.0,4,0,4
justinbook18,1.0,0.0,9,0,9
clayguy83,1.0,0.0,1,0,1
miss_kGa,0.875,0.125,7,1,8
VERASTEGUI100,0.9473684210526315,0.05263157894736842,18,1,19
tideslifefaith,1.0,0.0,4,0,4
debc51,0.9642857142857143,0.03571428571428571,27,1,28
ABabysRights,1.0,0.0,12,0,12
Apocalypte,0.0,1.0,0,8,8
littlemissevec,0.0,1.0,0,7,7
The_Alma_D,0.0,1.0,0,13,13
jshaw423,0.0,1.0,0,4,4
ch7pg3,0.0,1.0,0,8,8
miskinlaw,0.0,1.0,0,5,5
Anthony13JJ,0.0,1.0,0,9,9
DianaMurtagh,0.0,1.0,0,1,1
grammaviolet,0.0,1.0,0,10,10
okinnear3,0.0,1.0,0,1,1
GermanAlcocer1,0.0,1.0,0,5,5
EmilyThrive,0.0,1.0,0,1,1
toratannerchung,0.0,1.0,0,1,1
IWRising,0.0,1.0,0,8,8
joleen_jkane27,0.0,1.0,0,2,2
RepMyers,0.0,1.0,0,3,3
shaunkenyon1967,0.0,1.0,0,6,6
realsophieyates,0.0,1.0,0,3,3
katherine_ae,0.0,1.0,0,6,6
allisonnell,0.0,1.0,0,4,4
IbrahimSaidUba1,0.0,1.0,0,1,1
katie_jacob55,0.8888888888888888,0.1111111111111111,8,1,9
ABGYNservices,0.0,1.0,0,9,9
soihadanabort,0.05,0.95,1,19,20
ffskennz,0.0,1.0,0,5,5
vailkoyo,0.0,1.0,0,2,2
MJLucey,0.0,1.0,0,2,2
Joe_Panama,0.0,1.0,0,2,2
LoriDeForest62,0.0,1.0,0,1,1
ProfHarlan,0.0,1.0,0,1,1
samscrta,0.0,1.0,0,2,2
braincavanagh,0.0,1.0,0,5,5
Vikar_Singh,0.0,1.0,0,2,2
denmurray24,0.0,1.0,0,3,3
richellenicole,0.0,1.0,0,1,1
beckererine,0.0,1.0,0,3,3
sydneyrenee3,0.0,1.0,0,1,1
lwsplash,0.0,1.0,0,2,2
sojourner_blanc,0.0,1.0,0,2,2
johnphalpin,0.0,1.0,0,1,1
strangemoore,0.0,1.0,0,1,1
juliana_swenson,0.0,1.0,0,1,1
DrCNM,0.0,1.0,0,8,8
scarr6612,0.875,0.125,7,1,8
bananafitz,0.0,1.0,0,1,1
BitterBrendy,0.0,1.0,0,2,2
BundeCollins,0.0,1.0,0,1,1
KmTilley,0.0,1.0,0,4,4
BeWellWriting,0.0,1.0,0,7,7
formasjuitan,0.0,1.0,0,3,3
LizYohnRN,0.0,1.0,0,17,17
thejacksonlacy,0.0,1.0,0,1,1
CathCornellMD,0.0,1.0,0,2,2
bo_rajer,0.6666666666666666,0.3333333333333333,2,1,3
JeSuisAlison,0.0,1.0,0,1,1
julieburtonwmc,0.0,1.0,0,6,6
PatKernanQuinn,0.875,0.125,7,1,8
trianglescheme,0.0,1.0,0,7,7
DrEmmaBasch,0.0,1.0,0,2,2
Mr_TomMyers,0.0,1.0,0,1,1
Trevor_Horne,0.0,1.0,0,1,1
DenverDelRay,0.0,1.0,0,1,1
Muir_maid,0.0,1.0,0,3,3
KatLTosh,0.0,1.0,0,1,1
ClymerCaitlyn,0.0,1.0,0,1,1
wordspurify27,0.0,1.0,0,3,3
sineadgallivann,0,0,0,0,0
ericzieg,0.0,1.0,0,1,1
GaryMillrat,0.0,1.0,0,3,3
anj_90,0.0,1.0,0,13,13
eleenmurf,0.0,1.0,0,4,4
