word, count
prolife ,15216
prochoice ,2146
pregnancy ,1188
defundpp ,1139
prolifeyouth ,1076
aus ,1020
ppsellsbabyparts ,1018
catholic ,909
marchforlife ,720
qldpol ,715
prolifert ,700
qld ,642
whywemarch ,573
scotus ,533
prolifegen ,494
auspol ,481
praytoendabortion ,467
40daysforlife ,467
protestpp ,411
tcot ,327
gosnell ,327
downsyndrome ,319
istandwithpfl ,305
voteprolife ,287
theyfeelpain ,265
loveboth ,260
chooselife ,245
savethebabyhumans ,233
life ,231
prayer ,228
jesus ,226
40daysunited ,212
stopabortion ,209
assistedsuicide ,208
parenting ,204
adoption ,202
gopdebate ,199
100yearsofabuse ,185
itsnot1899 ,179
disability ,172
prolifeyouthrt ,172
teamlife ,161
womenshealth ,154
icommittoprayread ,146
christian ,145
usa ,144
endabortion ,140
vigil4life ,140
uk ,135
constantcontact ,132
family ,131
periscope ,126
pray ,121
euthanasia ,119
openthebigtent ,119
lifeisprecious ,117
mentalhealth ,113
ppsellsbabypartsrt ,106
ccot ,105
abortions ,105
prowoman ,102
letthemserve ,101
supportpregnantwomen ,101
100prolifethings ,98
9daysforlife ,97
prolifethe ,93
auspolrt ,92
noabortioncoercion ,91
confirmgorsuch ,90
prolifegeneration ,89
hhsmandate ,84
protectthemboth ,84
nevertrump ,83
lgbt ,82
antenatalcare ,81
abortionrt ,80
lifeequality ,77
trump ,76
simpletruth ,75
obamacare ,75
election2016 ,75
womenbetrayed ,74
rt ,73
love ,73
safeandlegal ,71
hellohyde ,70
anotherboy ,69
standwithcathy ,69
plc2015 ,69
defundplannedparenthood ,69
abortion ,1806
repealthe8th ,1535
stopthesham ,847
beboldendhyde ,761
reprojustice ,665
shoutyourabortion ,467
reprorights ,400
access4all ,366
standwithpp ,318
fightbacktx ,301
givingtuesday ,296
28-Sep,286
safeabortion ,262
ff ,257
hb2 ,247
fem2 ,247
trustwomen ,242
bowl14 ,235
notacriminal ,233
bowl15 ,214
ireland ,212
wetestify ,210
balls4dcaf ,207
endstigma ,204
womensmarch ,202
reprohealth ,198
demsinphilly ,193
fundabortionbuildpower ,188
tacoorbeerchallenge ,178
ncga ,176
bowl16 ,165
citizensassembly ,160
abortionrights ,154
tobc16 ,154
mydecision ,153
access ,143
prochoiceandproud ,142
bowl13 ,140
nyaafbowl14 ,137
prolifewomen16 ,135
blacklivesmatter ,133
humanrights ,132
tobc15 ,128
abortionaccess ,127
hb695 ,127
choice ,125
repealthe8thrt ,125
savita ,124
lpjlplayoftheday ,123
cedawirl ,122
nc ,121
stoptheshamrt ,118
solidarity ,115
united4coverage ,114
plannedparenthood ,114
roevwade ,113
nn16 ,112
bowl17 ,111
choice4xmas ,111
1in3 ,110
repealbill ,108
4eachofus ,107
debate ,104
thenextlevel ,104
1in3speaks ,102
snowvwade ,102
txlege ,100
games4dcaf ,99
sb353 ,99
women ,97
feminism ,96
reprojusticert ,93
tbt ,90
wewontgoback ,90
stopthebans ,89
v2v15 ,89
28-May,89
birthcontrol ,88
prochoicert ,88
standwithncwomen ,86
beboldendhydert ,84
feminist ,82
reclaimroe ,81
togetherforabortion ,81
nyc ,80
texas ,78
hr7 ,78
marchforchoice ,77
takeroot16 ,76
iccpr ,76
abortionstigma ,76
motorcyclevagina ,75
prochoicenz ,75
freesafelegal ,74
stigma ,74
srhr ,73
