word, count
abortionfunds ,2058
abortions ,2583
access ,3513
anti ,1706
aus ,1044
babies ,3214
baby ,4388
bill ,1518
black ,885
born ,1029
care ,1180
catholic ,1509
check ,988
child ,1941
children ,2245
choice ,3181
court ,1336
daily ,2247
days ,947
dcabortionfund ,1264
death ,923
defundpp ,1143
end ,1170
every ,929
family ,974
first ,978
freesafelegal ,877
fund ,912
funds ,1053
get ,2400
god ,1627
good ,1064
great ,1092
health ,2719
help ,1270
human ,2674
ireland ,2002
irish ,997
join ,1523
justice ,1012
know ,1592
laws ,955
legal ,1113
life ,13179
like ,1435
live ,1052
lives ,1254
love ,1438
make ,1289
mother ,1018
need ,1309
never ,967
nyaaf ,968
parenthood ,5462
people ,1998
planned ,4782
plannedparenthood ,1250
please ,916
ppact ,2734
ppsellsbabyparts ,1025
prayer ,1433
praying ,1734
pregnancy ,1055
president ,945
pro ,1373
prochoice ,996
prolife ,15743
prolifeyouth ,1540
read ,1121
repealthe8th ,1543
reproductive ,1648
reprorights ,1356
right ,1891
rights ,1383
rt ,9434
safe ,1688
saved ,2479
scotus ,1028
share ,877
state ,1111
stigma ,999
stopthesham ,849
stories ,1690
story ,1206
support ,1761
texas ,897
thank ,1831
think ,849
unborn ,2031
us ,4297
video ,1466
vote ,990
wholewomans ,881
woman ,1419
women ,4588
work ,1431
world ,906
years ,874
