hashtage, count
prolife , 14893
abortion , 5365
prochoice , 2139
pregnancy , 1182
plannedparenthood , 1155
defundpp , 1088
prolifeyouth , 1064
aus , 1020
ppsellsbabyparts , 989
catholic , 861
qldpol , 715
marchforlife , 692
prolifert , 689
qld , 642
whywemarch , 565
scotus , 534
prolifegen , 482
auspol , 481
40daysforlife , 467
praytoendabortion , 466
protestpp , 405
tcot , 327
gosnell , 326
downsyndrome , 317
istandwithpfl , 304
voteprolife , 287
theyfeelpain , 264
loveboth , 260
repealthe8th , 255
chooselife , 243
savethebabyhumans , 232
life , 230
prayer , 228
jesus , 225
40daysunited , 212
stopabortion , 209
assistedsuicide , 208
parenting , 204
adoption , 200
gopdebate , 199
100yearsofabuse , 185
itsnot1899 , 179
disability , 172
prolifeyouthrt , 172
teamlife , 161
humanrights , 160
womenshealth , 155
icommittoprayread , 146
christian , 145
usa , 143
vigil4life , 140
endabortion , 138
uk , 135
family , 131
periscope , 126
pray , 121
lifeisprecious , 117
mentalhealth , 113
euthanasia , 113
hb2 , 111
tbt , 107
ccot , 105
abortions , 105
prowoman , 102
ppsellsbabypartsrt , 102
letthemserve , 101
9daysforlife , 97
auspolrt , 92
noabortioncoercion , 91
prolifegeneration , 89
prolifethe , 89
confirmgorsuch , 86
protectthemboth , 84
hhsmandate , 84
roevwade , 83
nevertrump , 83
lgbt , 82
abortionrt , 81
antenatalcare , 81
trump , 77
lifeequality , 77
texas , 75
constantcontact , 75
simpletruth , 75
election2016 , 74
obamacare , 74
stopthesham , 72
rt , 72
safeandlegal , 71
hellohyde , 71
love , 71
standwithpp , 70
plc2015 , 69
standwithcathy , 69
alllivesmatter , 67
women , 67
blacklivesmatter , 67
defundplannedparenthood , 67
abortionrethink , 67
hydesaveslives , 66
abortion , 1583
repealthe8th , 1534
prochoice , 876
stopthesham , 836
beboldendhyde , 755
reprojustice , 654
shoutyourabortion , 461
scotus , 403
reprorights , 385
access4all , 366
standwithpp , 315
prolife , 308
fightbacktx , 301
givingtuesday , 296
sept28 , 270
ff , 256
safeabortion , 253
fem2 , 245
hb2 , 244
trustwomen , 238
bowl14 , 235
notacriminal , 231
bowl15 , 214
ireland , 212
balls4dcaf , 207
endstigma , 200
womensmarch , 200
wetestify , 197
demsinphilly , 193
reprohealth , 189
fundabortionbuildpower , 187
tacoorbeerchallenge , 177
ncga , 176
bowl16 , 165
citizensassembly , 160
tobc16 , 154
abortionrights , 154
mydecision , 153
access , 142
prochoiceandproud , 141
bowl13 , 140
nyaafbowl14 , 137
prolifewomen16 , 135
blacklivesmatter , 133
humanrights , 130
tobc15 , 128
hb695 , 127
repealthe8thrt , 125
choice , 125
abortionaccess , 125
savita , 124
lpjlplayoftheday , 123
cedawirl , 122
nc , 121
stoptheshamrt , 117
solidarity , 115
roevwade , 112
nn16 , 112
united4coverage , 112
choice4xmas , 111
bowl17 , 111
plannedparenthood , 111
repealbill , 108
4eachofus , 107
thenextlevel , 104
debate , 104
1in3speaks , 102
snowvwade , 102
1in3 , 101
txlege , 100
games4dcaf , 99
sb353 , 99
women , 96
feminism , 96
reprojusticert , 93
wewontgoback , 90
stopthebans , 89
womenshealth , 89
v2v15 , 89
may28 , 89
prochoicert , 88
tbt , 87
birthcontrol , 87
standwithncwomen , 86
beboldendhydert , 84
togetherforabortion , 81
feminist , 81
reclaimroe , 81
nyc , 80
texas , 78
hr7 , 78
marchforchoice , 77
iccpr , 76
prochoicenz , 75
takeroot16 , 75
motorcyclevagina , 75
freesafelegal , 74
funds15 , 72
abortionstigma , 72
demsinphillyrt , 71
